Evolution,Iteration,Chromosome,Fitness
0,8,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",37421
0,8,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",32143
0,9,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",100536
0,9,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,9,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",100517
0,9,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100513
0,9,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",100502
0,9,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",92061
0,9,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100535
0,9,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100507
0,9,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",74704
0,9,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, -46.373, 51.33, 77.79]",46945
0,9,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 67.7596, 0.68, 51.33, 77.79]",34988
0,9,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",26327
0,10,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",100536
0,10,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100535
0,10,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,10,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",100517
0,10,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100513
0,10,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100507
0,10,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",83781
0,10,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",67702
0,10,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",54872
0,10,"[-0.95, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, 94.49]",41052
0,10,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",40346
0,10,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 73.1737]",36455
0,11,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",100536
0,11,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100535
0,11,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,11,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",100517
0,11,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100513
0,11,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100507
0,11,"[95.6751, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",80982
0,11,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",66979
0,11,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",65514
0,11,"[-0.95, 98.8631, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",62363
0,11,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",58273
0,11,"[-0.95, -21.01, -22.22, -47.07, 18.95, 61.506, 0.68, 51.33, 77.79]",30434
0,12,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",100536
0,12,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100535
0,12,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,12,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",100517
0,12,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100513
0,12,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100507
0,12,"[-0.95, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",69325
0,12,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",49415
0,12,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",45218
0,12,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",26262
0,12,"[-0.95, 98.8631, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",23739
0,12,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",20678
0,13,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",100536
